p,U_pref,u_act,dist_1,dist_l,P__0__0,P__0__1,P__0__2,P__0__3,P__1__0,P__1__1,P__1__2,P__1__3,P__2__0,P__2__1,P__2__2,P__2__3,P__3__0,P__3__1,P__3__2,P__3__3,VA__0__0,VA__0__1,VA__1__0,VA__1__1,VA__2__0,VA__2__1,VA__3__0,VA__3__1
1.0,83.07276359967108,115.8628308963444,0.0,0.4271188435684935,0.5,0.5089403145455247,0.0839845059515336,0.0764820201288338,0.4910596854603801,0.5,0.0728811564221077,0.07676070405427576,0.9160154940482611,0.9271188435093156,0.5,0.5065164565455494,0.9235179799028892,0.9232392959356086,0.49348354347790074,0.5,-0.045447024474508706,-0.5282041317885056,-0.036596403748053175,-0.5434161593803586,0.04295041309477874,0.503566698853888,0.0378997009705415,0.4882689660222568
2.0,6.802291079945784,6.760939904651301,0.9135081536918751,0.5044239776970648,0.5,0.513955423120081,0.3570737361830467,0.3587213959533229,0.4860445768799189,0.5,0.34311831306296575,0.3447659728332419,0.6429262638169532,0.6568816869370343,0.5,0.5016476597702764,0.6412786040466772,0.6552340271667578,0.4983523402297237,0.5,0.1488484398953185,-0.344956762540303,0.1256225347188021,-0.35919877534489536,-0.1427094857700103,0.3594449593500774,-0.13176148884411035,0.34471057853512094
3.0,2.809847615010101,2.522249054553835,0.7507487197466877,0.17106401887905226,0.5,0.5154682672772889,0.4327705605261251,0.43220465581751777,0.4845317327227111,0.5,0.41745636026765476,0.41732205599784705,0.5672294394738748,0.5825436397323452,0.5,0.5000047140248239,0.5677953441824822,0.5826779440021529,0.499995285975176,0.5,0.20357282457559803,-0.2996277083472868,0.17650099288654422,-0.3104985631982036,-0.19497644056143384,0.3131399629832476,-0.1844708228898308,0.30296430647775047
4.0,1.8017853741834773,1.542323043283094,0.6531250394289823,0.09612002945148865,0.5,0.515303092272501,0.458921175279502,0.45761367384955154,0.48469690772749896,0.5,0.4433073500374234,0.4428571556207493,0.5410788247204981,0.5566926499625766,0.5,0.5000076447767079,0.5423863261504485,0.5571428443792507,0.49999235522329205,0.5,0.22398929121052477,-0.2852388543091853,0.196565534341791,-0.29403909156570424,-0.21349148999665882,0.29925565966613143,-0.2052369955144077,0.29094959272990845
5.1,1.3517900959780866,1.125459636892615,0.5940356765950796,0.06451693659528011,0.5,0.5146885994026242,0.4728154153927375,0.47116329277942026,0.48531140059737565,0.5,0.45721483455691675,0.45682766688499227,0.5271845846072625,0.5427851654430832,0.5,0.5005207135981137,0.5288367072205797,0.5431723331150077,0.49947928640188627,0.5,0.23617046927606827,-0.27854500503523955,0.20906979841508105,-0.2856353705498486,-0.2237875369056046,0.29351586313194244,-0.21781320807747107,0.2863458472746298
6.1,1.1395159312182952,0.9349152840042891,0.5612930606256461,0.0500666645405134,0.5,0.5141469943161634,0.48006553025854815,0.4782884064722497,0.4858530056838365,0.5,0.46461215342552664,0.4644065850241423,0.5199344697414519,0.5353878465744734,0.5,0.5010299787975309,0.5217115935277502,0.5355934149758577,0.4989700212024691,0.5,0.24347893243399815,-0.2756302919669515,0.21674765269627247,-0.28148272637536703,-0.2295380349819417,0.29150247771099363,-0.2251773770830225,0.28495790076941735
7.1,1.0083851667335166,0.8196876364579602,0.5390563248792403,0.04115504149298227,0.5,0.5136810399220851,0.4847863586705439,0.48298176148472544,0.4863189600779145,0.5,0.4695488036035834,0.4695640691167574,0.515213641329456,0.5304511963964164,0.5,0.5014601790631025,0.517018238515275,0.530435930883243,0.4985398209368975,0.5,0.24894442043389006,-0.2741376421612939,0.2225391897980451,-0.27896023700206124,-0.23360519956051273,0.29081650886268984,-0.23045924468633494,0.28468072312021686
8.1,0.9200593586029725,0.743357321892599,0.5230219819927557,0.03504452916819455,0.5,0.5132849367461987,0.48805032953919136,0.48627816322077794,0.48671506325380126,0.5,0.4730698428671353,0.4733134410007582,0.5119496704608086,0.5269301571328646,0.5,0.5017922823708718,0.513721836779222,0.5266865589992418,0.49820771762912813,0.5,0.2532721102419066,-0.2734252129499513,0.22713993131749302,-0.27737172490594286,-0.2367032996971172,0.29077449551193807,-0.23445863178500675,0.284916877158251
9.1,0.8568465847667608,0.6894725712457476,0.510918767442284,0.030552833010576732,0.5,0.5129449845628459,0.49040376693821003,0.4887021622727225,0.48705501543715407,0.5,0.475705920666171,0.4761703168216809,0.5095962330617899,0.524294079333829,0.5,0.5020380035675036,0.5112978377272774,0.5238296831783191,0.4979619964324964,0.5,0.2568190703644474,-0.2731723142056728,0.2309169978730068,-0.27636219835143105,-0.23918900639521853,0.2910534715013721,-0.23760950280161816,0.28539278468147783
10.1,0.8095371852340187,0.64961030616488,0.5014529552935822,0.027093801932070675,0.5,0.5126602358964911,0.492154205082147,0.49054729166105093,0.4873397641035089,0.5,0.47775457957916795,0.47842494613129044,0.507845794917853,0.522245420420832,0.5,0.5022155111180843,0.5094527083389491,0.5215750538687095,0.4977844888819157,0.5,0.25979059837932844,-0.2732000642547048,0.23408453734242068,-0.2757308618731908,-0.24125852236255715,0.29149059251280296,-0.24016791356506587,0.28597494093405396
